result: 36.693680 | time: 18.948989
result: 41.205093 | time: 18.931186
result: 47.129799 | time: 21.434930
result: 33.150116 | time: 16.640028
result: 33.719627 | time: 21.389832
result: 36.114521 | time: 18.952486
result: 24.189465 | time: 15.588334
result: 30.983009 | time: 18.946163
result: 40.525597 | time: 18.939210
result: 33.361446 | time: 21.396323
result: 34.667732 | time: 18.928756
result: 34.182285 | time: 21.354360
result: 36.778759 | time: 20.378343
result: 34.649181 | time: 18.934388
result: 39.617668 | time: 18.941296
result: 37.011192 | time: 18.939646
result: 37.250530 | time: 21.405301
result: 36.148861 | time: 21.382193
result: 34.815590 | time: 18.891064
result: 32.106255 | time: 18.928023
