result: 26.211004 | time: 50.714073
result: 29.689121 | time: 21.435682
result: 26.073244 | time: 18.911231
result: 45.822098 | time: 15.993544
result: 27.235052 | time: 51.267001
result: 38.468391 | time: 24.351524
result: 33.083862 | time: 26.193733
result: 29.678278 | time: 50.652356
result: 38.028439 | time: 18.889894
result: 30.564327 | time: 17.446033
result: 38.750233 | time: 18.929086
result: 28.695507 | time: 57.290338
result: 34.803608 | time: 19.170578
result: 31.202599 | time: 18.916814
result: 27.524204 | time: 18.934129
result: 24.488962 | time: 50.615750
result: 41.294037 | time: 18.888062
result: 30.022926 | time: 18.941092
result: 30.857849 | time: 50.583857
result: 35.168789 | time: 18.899781
result: 38.438652 | time: 18.942602
result: 28.491997 | time: 19.149571
result: 30.405994 | time: 50.098196
result: 32.094429 | time: 23.321107
result: 37.757809 | time: 17.868758
result: 31.691944 | time: 42.860394
result: 36.203094 | time: 18.938801
result: 37.655190 | time: 18.914492
result: 24.809864 | time: 17.898584
result: 36.840759 | time: 50.691132
result: 43.401417 | time: 18.942708
result: 27.057091 | time: 19.138052
result: 26.341074 | time: 39.563958
result: 40.482372 | time: 18.879766
result: 38.358597 | time: 18.915025
result: 34.581284 | time: 15.996338
AVG-result: 34.456772
AVG-Time: 19.554049
result: 30.944317 | time: 76.019091
result: 26.380489 | time: 50.655651
result: 35.315090 | time: 52.887824
result: 30.346109 | time: 50.635628
result: 27.005741 | time: 50.602511
result: 22.040207 | time: 57.275688
result: 24.794765 | time: 50.633555
result: 34.310192 | time: 50.585118
result: 34.601051 | time: 55.668757
result: 31.549511 | time: 50.711982
result: 28.489084 | time: 57.311200
result: 26.442322 | time: 50.592583
result: 30.773603 | time: 50.587487
result: 34.729847 | time: 50.615956
result: 25.184006 | time: 50.646012
result: 30.971529 | time: 58.405744
result: 34.292885 | time: 50.605836
result: 25.602858 | time: 50.608395
result: 25.610598 | time: 50.615860
result: 31.834955 | time: 50.624548
result: 26.052332 | time: 57.319586
result: 23.273460 | time: 50.657827
result: 42.487049 | time: 42.875075
result: 34.697098 | time: 65.108790
result: 29.323740 | time: 70.277080
result: 34.184681 | time: 50.705203
result: 27.517754 | time: 46.802993
result: 35.526993 | time: 50.726826
result: 28.925167 | time: 51.311837
result: 27.690981 | time: 50.726483
result: 24.241714 | time: 50.644697
result: 38.614548 | time: 50.715875
result: 26.781504 | time: 50.672973
result: 32.426811 | time: 50.694587
result: 33.981407 | time: 50.686087
result: 26.268614 | time: 51.308946
result: 28.606384 | time: 62.293136
result: 33.057667 | time: 47.913944
result: 34.361115 | time: 50.645122
result: 33.792953 | time: 50.682869
result: 21.732376 | time: 47.979926
result: 40.921291 | time: 50.755207
result: 23.619816 | time: 51.249606
result: 36.923508 | time: 50.740412
result: 33.580696 | time: 50.711487
