result: 36.612297 | time: 18.942078
result: 41.151276 | time: 18.961619
result: 47.055046 | time: 21.413581
result: 33.122398 | time: 16.677099
result: 33.700356 | time: 21.391112
result: 35.883759 | time: 18.933127
result: 24.121094 | time: 15.662445
result: 30.936275 | time: 18.929338
result: 40.426212 | time: 18.958487
result: 33.267174 | time: 21.418866
result: 34.628281 | time: 18.962146
result: 33.990318 | time: 21.449019
result: 36.707806 | time: 20.401409
result: 34.511375 | time: 18.944108
result: 39.601357 | time: 18.934719
result: 36.986969 | time: 18.923111
result: 37.221607 | time: 21.442122
result: 36.017185 | time: 21.404451
result: 34.710838 | time: 18.967439
result: 32.044781 | time: 18.937287
result: 39.578152 | time: 18.962681
result: 36.921364 | time: 22.247146
result: 31.256969 | time: 17.930160
result: 33.403736 | time: 18.928945
result: 33.447853 | time: 18.938142
result: 28.575550 | time: 21.400141
result: 39.770866 | time: 21.384381
result: 32.848667 | time: 18.946006
result: 28.841726 | time: 18.959036
result: 28.831785 | time: 11.337613
result: 37.960976 | time: 18.943110
result: 39.247677 | time: 18.916513
result: 40.045647 | time: 21.613077
result: 30.185482 | time: 18.946015
result: 26.889410 | time: 22.670284
result: 31.758057 | time: 21.404124
result: 32.746819 | time: 18.955307
result: 41.805168 | time: 18.916680
result: 33.277321 | time: 18.929619
result: 34.138966 | time: 18.937482
result: 34.853310 | time: 18.930852
result: 35.352188 | time: 18.943707
result: 44.977882 | time: 18.905282
result: 50.414295 | time: 18.998154
result: 31.145079 | time: 18.929795
result: 31.835533 | time: 19.149629
result: 33.917416 | time: 18.925476
result: 31.750525 | time: 21.412251
result: 29.324554 | time: 18.970736
result: 34.542358 | time: 18.934159
result: 35.268318 | time: 18.705029
result: 35.694122 | time: 16.048198
result: 41.239777 | time: 18.931720
result: 29.431438 | time: 14.803826
result: 33.589993 | time: 28.454845
result: 30.696838 | time: 18.941303
result: 36.012794 | time: 19.763705
result: 34.104565 | time: 18.953879
result: 30.567955 | time: 18.878164
result: 25.721996 | time: 21.409590
result: 28.901543 | time: 18.916515
result: 36.728539 | time: 18.943845
result: 37.380264 | time: 20.820765
result: 35.367931 | time: 18.927520
result: 31.324551 | time: 21.400694
result: 29.676819 | time: 18.988330
result: 35.407280 | time: 18.934954
result: 38.451900 | time: 18.957313
result: 28.838161 | time: 18.922135
result: 35.695820 | time: 21.839341
result: 38.399479 | time: 18.911557
result: 28.873808 | time: 18.896378
result: 29.354677 | time: 18.953629
result: 35.303600 | time: 18.916057
result: 29.752321 | time: 21.415563
result: 26.196451 | time: 18.931753
result: 45.881367 | time: 16.070668
result: 38.549732 | time: 24.320593
result: 33.179508 | time: 26.157755
result: 38.099060 | time: 18.948423
result: 30.713211 | time: 17.490375
result: 38.821781 | time: 18.916331
result: 34.973618 | time: 19.159745
result: 31.279720 | time: 18.930831
result: 27.760992 | time: 18.933524
result: 41.339649 | time: 18.948364
result: 30.093079 | time: 18.947175
result: 35.251472 | time: 18.938866
result: 38.528294 | time: 18.921538
result: 28.562607 | time: 19.118913
result: 32.578434 | time: 23.309827
result: 38.046814 | time: 17.932531
result: 36.223663 | time: 18.934311
result: 37.810040 | time: 18.956127
result: 24.884432 | time: 17.892582
result: 43.467216 | time: 18.929776
result: 27.162033 | time: 19.137480
result: 40.537689 | time: 18.946313
result: 38.745518 | time: 18.912674
result: 34.693520 | time: 16.072272
AVG-result: 34.575061
AVG-Time: 19.394137
